2011,S_EMPEL_1,Support Crystal,Support Crystal,99,20,50000,0,0,3, 1,2,100,99, 0,0,0,90,20,0,10,12,1,0,26,0x40,2000,1308,1008,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,LEAF_CAT,Shiro,Shiro,1,25,50000,2000,2000,1,266,307,5,19,25,67,12,45,60,29,10,12,0,2,22,0xF1,150,960,864,720,0,0,0,0,0,0,0,7919,28,5097,7,12709,1500,14525,430,14564,285,14549,714,12130,714,12106,14,0,0,0,0

// BattleGround Mob
2100,RSX_0806,RSX 0806,RSX-0806,86,500000,0,0,0,1,2740,5620,39,41,85,51,30,25,93,84,10,12,2,0,60,0x37B5,300,128,1104,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2101,GLOOMUNDERNIGHT,Gloom Under Night,Gloom Under Night,89,500000,0,0,0,3,5880,9516,10,20,100,115,98,78,111,50,10,12,2,0,68,0x37B5,300,1344,2880,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2102,RANDGRIS,Valkyrie Randgris,Valkyrie Randgris,99,500000,0,0,0,3,5560,9980,25,42,100,120,30,120,220,210,10,12,2,8,86,0x37B5,300,576,576,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2103,GARM,Garm,Garm,73,500000,0,0,0,3,1700,1900,40,45,85,126,82,65,95,60,10,12,2,2,81,0x37B5,400,608,408,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2104,MOROCC,Satan Morroc,Satan Morroc,99,500000,0,0,0,2,32000,32001,29,65,140,160,30,250,180,50,10,12,2,6,87,0x37B5,300,76,540,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2300,JAKK,Halloween Jakk,Halloween Jakk,38,3581,0,1408,880,1,315,382,5,30,1,38,38,43,75,45,10,12,1,0,43,0x3695,200,1180,480,648,0,0,0,0,0,0,0,7941,9000,912,0,985,0,2331,0,1008,0,535,00,0,0,0,0,0,0,4109,0

2105,S_EMPEL_1,Guardian Stone,Guardian Stone,90,500,0,0,0,0,1,1,100,99,1,1,1,1,1,1,0,0,2,0,20,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2106,S_EMPEL_2,Guardian Stone,Guardian Stone,90,500,0,0,0,0,1,1,100,99,1,1,1,1,1,1,0,0,2,0,20,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2107,EMPELIUM,Emperium,Emperium,90,250,0,0,0,0,1,1,100,99,1,1,1,1,1,1,0,0,2,0,20,0x160,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
