// Custom Kawaii Box (item id 5000) Obtainable Items Database
// Edit it as you wish, for your server.
// Structure of Database:
// GroupID,ItemID,Rate

//Angel_Wing
56,30259,100
56,30260,100
56,30261,100
56,30262,100
56,30263,100
56,30264,100
56,30265,100
//Cowboy_Hat
56,30266,100
56,30267,100
56,30268,100
56,30269,100
56,30270,100
56,30271,100
56,30272,100
//Scarf
56,30275,100
56,30276,100
56,30277,100
56,30278,100
//Gangster_Scarf
56,30280,100
56,30281,100
56,30282,100
56,30283,100
56,30284,100
56,30285,100
56,30286,100
//Love_Dad_Bandana
56,30287,100
56,30289,100
56,30290,100
56,30291,100
56,30292,100
//Luxury
56,30294,100
56,30295,100
56,30296,100
56,30297,100
56,30298,100
56,30299,100
56,30300,100
//Pirate_Hat
56,30301,100
56,30302,100
56,30303,100
56,30304,100
56,30305,100
56,30306,100
56,30307,100
